,accountability,category,district,enrollment,name,turnover_rate,type
0,76,Elementary SchoolK4–5,Abbotsford,377,Abbotsford Elementary,6.3%,
1,64,Elementary SchoolK4–5,Adams-Friendship Area,438,Adams-Friendship Elementary,16.0%,
2,53,High School9–12,Adams-Friendship Area,488,Adams-Friendship High,10.4%,
3,52,Middle School6–8,Adams-Friendship Area,233,Adams-Friendship Middle,9.0%,
4,70,Elementary SchoolK4–5,Adams-Friendship Area,160,Grand Marsh Elementary,25.5%,
5,54,Middle School6–8,Albany,75,Albany Community Middle,5.3%,Charter
6,58,Elementary SchoolK4–5,Albany,156,Albany Elementary,7.0%,
7,75,Elementary SchoolK4–6,Algoma,379,Algoma Elementary,4.8%,
8,79,Elementary SchoolK4–8,Alma,183,Alma Elementary,7.9%,
9,88,Elementary SchoolK4–6,Alma Center,353,Lincoln Elementary,8.3%,
10,58,High School9–12,Alma Center,170,Lincoln High,8.2%,
11,72,Elementary School1–5,Almond-Bancroft,139,Almond Elementary,13.0%,
12,79,Elementary SchoolK4–3,Altoona,595,Altoona Elementary,5.6%,
13,75,High School9–12,Altoona,418,Altoona High,7.7%,
14,72,Elementary School4–5,Altoona,220,Altoona Intermediate,5.0%,
15,64,High School9–12,Amery,462,Amery High,7.4%,
16,82,Elementary School3–5,Amery,329,Amery Intermediate,6.1%,
17,75,Middle School6–8,Amery,342,Amery Middle,4.4%,
18,61,High School9–12,Antigo Unified,807,Antigo High,9.0%,
19,71,Middle School6–8,Antigo Unified,514,Antigo Middle,8.4%,
20,72,Elementary SchoolPK–5,Antigo Unified,131,Crestwood Elementary,14.5%,
21,72,Elementary SchoolPK–5,Antigo Unified,144,East Elementary,20.6%,
22,77,Elementary SchoolPK–5,Antigo Unified,154,North Elementary,20.1%,
23,91,Elementary SchoolK4–5,Antigo Unified,249,Pleasant View Elementary,12.6%,
24,78,Elementary SchoolPK–5,Antigo Unified,121,Spring Valley Elementary,10.7%,
25,74,Elementary SchoolK5–6,Appleton Area,165,Appleton Bilingual School,6.7%,Charter
26,82,Elementary SchoolK4–6,Appleton Area,155,Appleton Public Montessori,8.9%,Charter
27,48,High School9–12,Appleton Area,69,Appleton Technical Academy,24.6%,Charter
28,-,High School7–12,Appleton Area,15,Appleton eSchool,-,"Charter
Virtual"
29,63,Elementary SchoolPK–6,Appleton Area,345,Badger Elementary,24.6%,
30,82,Elementary SchoolPK–6,Appleton Area,424,Berry Elementary,7.8%,
31,86,Elementary SchoolK5–8,Appleton Area,478,Classical School,4.8%,Charter
32,65,Elementary SchoolPK–6,Appleton Area,153,Columbus Elementary,34.0%,
33,63,High School9–12,Appleton Area,"1,406",East High,6.7%,
34,72,Elementary SchoolPK–6,Appleton Area,273,Edison Elementary,17.1%,
35,67,Middle School7–8,Appleton Area,537,Einstein Middle,3.4%,
36,76,Elementary SchoolPK–6,Appleton Area,634,Ferber Elementary,14.8%,
37,68,High School9–12,Appleton Area,105,Fox Cities Leadership Academy,12.4%,Charter
38,72,Elementary SchoolK5–8,Appleton Area,114,Fox River Academy,12.3%,Charter
39,69,Elementary SchoolPK–6,Appleton Area,370,Franklin Elementary,27.9%,
40,74,Elementary SchoolPK–6,Appleton Area,589,Highlands Elementary,14.8%,
41,73,Elementary SchoolPK–6,Appleton Area,375,Horizons Elementary,12.5%,
42,73,Elementary SchoolPK–6,Appleton Area,613,Houdini Elementary,12.7%,
43,75,Elementary SchoolPK–6,Appleton Area,698,Huntley Elementary,12.8%,
44,66,Elementary SchoolPK–6,Appleton Area,357,Jefferson Elementary,19.6%,
45,68,Elementary SchoolPK–6,Appleton Area,497,Johnston Elementary,15.0%,
46,56,Middle School6–8,Appleton Area,618,Kaleidoscope Academy,10.4%,Charter
47,75,Elementary SchoolPK–6,Appleton Area,371,Lincoln Elementary,9.4%,
48,65,Middle School7–8,Appleton Area,688,Madison Middle,3.9%,
49,-,Elementary SchoolK4–4,Arcadia,542,Arcadia Elementary,6.2%,
50,58,High School9–12,Arcadia,356,Arcadia High,7.0%,
51,74,Elementary SchoolK4–5,Argyle,139,Argyle Elementary,9.4%,
52,-,High School9–12,Ashland,24,Ashland Charter High School,50.0%,Charter
53,71,Elementary School3–5,Ashland,72,Ashland Elementary Charter School,8.3%,Charter
54,59,High School9–12,Ashland,635,Ashland High,7.6%,
55,65,Middle School6–8,Ashland,402,Ashland Middle,6.7%,
56,61,Elementary School3–5,Ashland,333,Lake Superior Intermediate,9.3%,
57,-,Elementary SchoolPK–2,Ashland,356,Lake Superior Primary,5.3%,
58,76,Elementary SchoolPK–5,Ashland,173,Marengo Valley Elementary,1.7%,
59,68,High School9–12,Ashwaubenon,"1,033",Ashwaubenon High,6.8%,
60,67,Middle School6–8,Ashwaubenon,700,Parkview Middle,4.3%,
61,82,Elementary SchoolK5–5,Ashwaubenon,493,Pioneer Elementary,8.9%,
62,60,Elementary SchoolK4–5,Athens,172,Athens Elementary,10.9%,
63,62,High School9–12,Athens,188,Athens High,2.7%,
64,76,Elementary SchoolK4–5,Auburndale,404,Auburndale Elementary,5.0%,
65,77,Elementary SchoolK4–5,Augusta,273,Augusta Elementary,7.4%,
66,65,High School9–12,Augusta,150,Augusta High,14.7%,
67,60,Middle School6–8,Augusta,141,Augusta Middle,10.6%,
68,61,High School9–12,Baldwin-Woodville Area,466,Baldwin-Woodville High,3.2%,
69,85,Elementary SchoolK4–5,Baldwin-Woodville Area,872,Greenfield Elementary,5.2%,
70,91,Elementary SchoolK4–5,Bangor,279,Bangor Elementary,4.9%,
71,77,Elementary SchoolPK–5,Baraboo,349,Al Behrman Elementary,11.5%,
72,62,High School9–12,Baraboo,969,Baraboo High,10.9%,
73,71,Elementary SchoolK4–5,Baraboo,359,East Elementary,11.2%,
74,72,Middle School6–8,Baraboo,636,Jack Young Middle,6.8%,
75,76,Elementary SchoolK5–5,Baraboo,125,North Freedom Elementary,7.2%,
76,78,Elementary SchoolK4–5,Barneveld,226,Barneveld Elementary,5.0%,
77,-,Elementary/Secondary SchoolK5–12,Barron Area,58,Advanced Learning Academy of Wisconsin,39.7%,"Charter
Virtual"
78,84,Elementary SchoolK4–4,Barron Area,72,Almena Elementary,15.0%,
79,-,Elementary SchoolK4–3,Barron Area,61,Barron Area Montessori School,47.2%,Charter
80,64,High School9–12,Barron Area,365,Barron High,8.8%,
81,86,Elementary SchoolK4–4,Barron Area,71,Ridgeland-Dallas Elementary,8.6%,
82,73,Middle School5–8,Barron Area,372,Riverview Middle,9.4%,
83,71,Elementary SchoolPK–5,Bayfield,157,Bayfield Elementary,6.7%,
84,41,High School9–12,Bayfield,124,Bayfield High,8.1%,
85,75,Middle School6–8,Bayfield,77,Bayfield Middle,3.9%,
86,71,High School9–12,Beaver Dam Unified,"1,087",Beaver Dam High,9.2%,
87,58,Middle School6–8,Beaver Dam Unified,763,Beaver Dam Middle,6.2%,
88,-,Elementary/Secondary School6–12,Beaver Dam Unified,59,Don Smith Learning Academy,28.8%,Alternative
89,76,Elementary SchoolK5–5,Beaver Dam Unified,308,Jefferson Elementary,14.6%,
90,81,Elementary SchoolK5–5,Beaver Dam Unified,212,Lincoln Elementary,18.4%,
91,87,Elementary SchoolK4–5,Beaver Dam Unified,471,Prairie View Elementary,10.7%,
92,89,Elementary SchoolK5–5,Beaver Dam Unified,132,South Beaver Dam Elementary,15.9%,
93,86,Elementary SchoolK5–5,Beaver Dam Unified,235,Washington Elementary,8.9%,
94,86,Elementary SchoolK4–6,Beecher-Dunbar-Pembine,144,Pembine Elementary,21.9%,
95,-,Elementary SchoolK4–1,Belleville,166,Belleville Elementary,5.9%,
96,73,High School9–12,Belleville,260,Belleville High,3.5%,
97,80,Elementary School2–6,Belleville,342,Belleville Intermediate,7.9%,
98,74,Elementary SchoolK4–5,Belmont Community,209,Belmont Elementary,3.5%,
