id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
NA-1701,A Promise of Hope Academy,5226 W. Hampton Ave.,"Milwaukee, WI 53218",Milwaukee,53218,Not Rated*,,55,Elementary School,1.8,100,0,K4,3,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-316,Academy of Accelerated Learning,3727 S 78th St,Milwaukee WI  53220-1603,Milwaukee,53220,Meets Expectations,69.7,637,Elementary School,16.2,68.3,17.9,K3,5,58.6,29.7,29,62.3,32.1,30.2,68.2,32.2,36,,86.6,,75,11.6,,Public school,No,,,District,District
NA-1652,Academy of Excellence,1236 W. Pierce St.,"Milwaukee, WI 53204",Milwaukee,53204,Exceeds Expectations,74.3,793,Elementary/Secondary School,4,85.4,24.5,K4,12,16,7.2,8.9,88.8,44.4,44.4,,,,,72.7,,70.7,1.3,0.7,Private school,No,,,Private,Private
3619-162,ALBA - Academia de Lenguaje y Bellas Artes,1712 S 32nd St,Milwaukee WI  53215-2104,Milwaukee,53215,Meets Expectations,68.8,493,Elementary School,19.1,69.6,61.1,K3,5,57,26.5,30.5,59.4,32.1,27.3,70.4,40.6,29.8,,86.3,,76.3,10,,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
3619-75,Alcott Elementary,3563 S 97th St,Milwaukee WI  53228-1416,Milwaukee,53228,Meets Expectations,71.4,347,Elementary School,18.7,74.6,0.9,K3,8,56.7,31.8,24.9,84,50,34,41.8,23.4,18.4,,81.1,,73.3,4.5,3.3,Public school,No,,,District,District
3619-73,Allen-Field Elementary,730 W Lapham Blvd,Milwaukee WI  53204-3428,Milwaukee,53204,Exceeds Expectations,76.7,657,Elementary School,28.5,92.2,43.5,K3,5,26.6,13.7,13,88.7,38.7,50,63.6,31.7,31.9,,78.1,,73.5,4.6,,Public school,No,,,District,District
3619-413,Alliance School of Milwaukee,850 W Walnut St,Milwaukee WI  53205,Milwaukee,53205,Fails to Meet Expectations,39.8,200,Elementary/Secondary School,27.5,76.5,2.5,9,12,22.8,15.4,7.5,,,,60.3,,,60.3,57.6,57.6,,,,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
3619-1063,ASSATA High,3517 W Courtland Ave,Milwaukee WI  53209-5919,Milwaukee,53209,Alternate Rating - Satisfactory Progress,AR,109,High School,14.7,84.4,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
NA-1263,Atlas Preparatory Academy,1039 E. Russell Ave.,"Milwaukee, WI 53207",Milwaukee,53207,Meets Few Expectations,59.3,693,Elementary/Secondary School,0.7,79.2,29.5,K4,12,21.7,12.2,9.5,64.2,30.2,34,,,,,77.2,,73.3,2.9,1,Private school,No,,,Private,Private
NA-1301,Atonement Lutheran School,4224 W. Ruby Avenue,"Milwaukee, WI 53209",Milwaukee,53209,Exceeds Expectations,81.2,85,Elementary School,1.2,98.8,0,K4,8,43.4,20.8,22.7,84.1,39.7,44.4,,,,,84.8,,77.1,3.7,4,Private school,No,,,Private,Private
5355-20,Atwater Elementary,2100 E Capitol Dr,Shorewood WI  53211-2198,Shorewood,53211,Significantly Exceeds Expectations,83.9,542,Elementary School,7.9,16.6,9.6,K4,6,81.3,40,41.4,67,27.3,39.7,87.7,42.4,45.3,,92.6,,76,16.6,,Public school,No,,,District,District
3619-434,Audubon Technology and Communication High School,3300 S 39th St,Milwaukee WI  53215-4019,Milwaukee,53215,Fails to Meet Expectations,47.3,371,High School,25.3,82.2,11.1,9,12,28.2,20.6,7.6,,,,60.7,14.8,13.2,32.7,83.9,83.9,,,,Public school,No,,,District,District
3619-41,Audubon Technology and Communication Middle School,3300 S 39th St,Milwaukee WI  53215-4019,Milwaukee,53215,Fails to Meet Expectations,51.5,581,Middle School,23.9,87.6,24.8,6,8,27.5,17.7,9.9,48.9,25.4,23.5,60,28.8,31.2,,72.3,,68.2,,4.1,Public school,No,,,District,District
3619-77,Auer Avenue Elementary,2319 W Auer Ave,Milwaukee WI  53206-1735,Milwaukee,53206,Fails to Meet Expectations,44.3,266,Elementary School,28.9,98.5,0,K3,8,9.1,5.7,3.5,30,9.3,20.7,68.9,31.4,37.5,,72.5,,71.4,0.5,0.6,Public school,No,,,District,District
NA-856,Bader Hillel Academy,6401 N. Santa Monica Blvd.,"Fox Point, WI 53217",Fox Point,53217,Not Rated*,,65,Elementary School,0,66.2,0,KG,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-432,Banner Preparatory School of Milwaukee,4610 W State St,Milwaukee WI  53208,Milwaukee,53208,Alternate Rating - Satisfactory Progress,AR,52,Elementary/Secondary School,42.3,86.5,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-188,Barbee Elementary,4456 N Teutonia Ave,Milwaukee WI  53209-6225,Milwaukee,53209,Meets Few Expectations,54.6,341,Elementary School,21.4,85,0,K3,6,18.9,10.2,8.7,26.2,20.7,5.5,87.7,41.2,46.5,,79.7,,74.5,5.2,,Public school,No,,,District,District
3619-81,Barton Elementary,5700 W Green Tree Rd,Milwaukee WI  53223-5220,Milwaukee,53223,Meets Few Expectations,56,301,Elementary School,19.6,97,2,K3,6,25,13.5,11.6,57.5,32.1,25.4,58.2,27.4,30.8,,77.3,,71.5,5.8,,Public school,No,,,District,District
